Word,Definition
converge,Move towards one another or towards a point; unite
conversant,Knowledgeable about or experienced with
conversely,In an opposite way; on the other hand
conviction,Convincing firm belief         
convoke,"Call together, as to a meeting; Call together summon         "
convoluted,Twisted; very complicated; Complicated coiled twisted         
copious,"Plentiful, bountiful"
cordial,Warm and sincere         
cordon,Line (of police acting as a guard)     
cornucopia,Abundant supply        
corporeal,Physical of or for the body      
correlate,Have a mutual relation        
corroborate,"Support, add evidence to"
corroboration,Additional strengthening evidence         
cosmopolitan ,"Belonging to the entire world, at home globally; free from local or national prejudices or attachments"
cosset,"Treat as a pet, pamper"
coterie,"Close or exclusive group, clique"
countenance,To favor or approve of       
countenance ,Facial expression or face (noun); approve or tolerate (verb)
counterfeit,Forgery           
counterintuitive,Against what one would intuitively expect
counterpoint,"Contrasting item, opposite; a complement; the use of contrast or interplay in a work of art"
counterproductive,Defeating the purpose; preventing the intended goal
countervail,Counterbalance           
covert,"Secret, veiled, undercover; Disguised           "
covetous,Eagerly desirous          
cower,Crouch shrink back         
coy,Shy/modest (esp of a girl)     
crafty,"Cunning, skillful in deception or underhanded schemes"
crass,Very great (es. stupidity)      
cravat,Piece of linen worn as a necktie   
craven,"Cowardly           ; Very cowardly, lacking courage"
crease,Line made by crushing white line on the ground in cricket 
credibility,"Believability, trustworthiness"
credulity,Too great a readiness to believe things     
credulous,Gullible; prone to believing or trusting too easily or without enough evidence; Ready to believe things        
crescendo,"Steady increase in force, intensity, or the loudness of a musical passage; a climactic moment or peak"
crush,Press lose shape subdue overwhelm       
cryptic,Secret with a hidden meaning       
culminate,Reach the highest point or final stage
cumbersome,Burdensome heavy and awkward to carry      
cupidity,"Greed, great or excessive desire"
curmudgeon,"Bad-tempered person          ; Bad-tempered, difficult person; grouch"
curriculum,Course of study         
cursory,Quick hurried          
curtail,Make shorter then was planned       
cynical,Thinking the worst of others' motivations; bitterly pessimistic
dainty,Pretty/delicate(food)/difficult to please       
daunt,"Intimidate make fearful         ; Discourage, dishearten, lessen the courage of"
dawdler,Person who is slow waste of time     
dearth,Shortage           
debacle,A breakup overthrow sudden disaster       
debase,"Degrade; lower in quality, value, rank, etc.; lower in moral quality"
debunk,"Expose, ridicule, or disprove false or exaggerated claims"
declaim,"Speak in an impassioned, pompous, or oratorical manner; give a formal speech"
declivity,Downward slope
decorous,Behaving with propriety and good taste; polite
decorum,Propriety properness          
decree,Order given by authority        
decry,Disapprove of          
deem,Judge; consider
deface,"Vandalize, mar the appearance of"
default,"Failure to act, neglect (noun); fail to fulfill an obligation, especially a financial one (verb)"
defer,Postpone give way (to show respect)      
deference,Respectful submission; yielding to the authority or opinion of another
deferential,Showing respect          
defiance,Open disobedience or resistance        
deflect,"Cause to curve; turn aside, esp. from a straight course; avoid"
deleterious,"Harmful, unhealthful"
delimit,"Fix, mark, or define the boundaries of"
delineate,To portray depict sketch out       ; Mark the outline of; sketch; describe in detail
deluge,Great flood heavy rush of water      
demagogue,Person appealing not to reasons       
demagogue ,A leader who lies and gains power by arousing the passions and especially prejudices of the people
demur,"Show reluctance or object, especially for moral reasons; To hesitate raise objections        "
denigrate,"Belittle, attack the reputation of; Blacken belittle sully defame        "
denote,Be a name or symbol for
denouement,An outcome or solution the unraveling of a plot   
deplete,Use until none remains        
deposition,Dethronement depositing          
deprave,Make morally bad corrupt        
deprecate,Protest against express disapproval of       
dereliction,Deserting and leaving to fall into ruins     
deride,"Mock, scoff at, laugh at contemptuously"
derision,Ridicule mockery deriding         
derivative,Unoriginal obtained from another source       ; Derived from something else; not original
derogatory,Insulting tending to damage        
descry,Catch sight of see smth in the distance    
desiccant,Substance used to absorb moisture       
desiccate,"Thoroughly dried up, dehydrated"
desuetude,Cessation of use disuse        
desultory,"Lacking consistency or order, disconnected, sporadic; going off topic; Aimless haphazard digressing at random       "
detached,"Impartial, disinterested; unconcerned, distant, aloof"
deter,Discourage hinder          
deterrent,Something that restrains or discourages
detraction,Slandering verbal attack aspersion        
detumescence,Diminishing or lessening of swelling       
deviance,Being different in moral standards (from normal)     
dexterity,Skill (esp. in handling)        
diaphanous,Transparent gauzy          
diaphanous   ,"Very sheer, fine, translucent"
diatribe,"Bitter, abusive attack or criticism; rant; Bitter and violent attack in words      "
dichotomy,Division into two parts or into two contradictory groups
dictum,Formal or authoritative pronouncement; saying or proverb
didactic,"Intended to instruct; teaching, or teaching a moral lesson"
diffidence,Shyness           
diffident,"Lacking confidence, shy"
diffuse,"Spread widely, disseminate (verb); dispersed, widely spread out, or wordy and going off- topic (adj)"
digress,Go off-topic when speaking or writing
dilate,"Speak comprehensively become wider large       ; To become wider or make wider, cause to expand; to speak or write at length, elaborate upon"
dilatory,"Slow, late; procrastinating or stalling for time"
dilettante,Person who takes up an art or activity for amusement only or in a superficial way
din,"Loud, confused noise, esp. for a long period of time"
dirge,A funeral or mourning song or poem
disabuse,Free someone from a mistake in thinking
disallow,Refuse to allow or accept as a correct    
discern,See with an effort but clearly      
discerning,Having good judgment or insight; able to distinguish mentally
discomfit,Confuse embarrass          
discomfiting ,"Disconcerting, confusing, frustrating"
disconcert,Upset the self-possession of        
discordant,"Harsh or inharmonious in sound; disagreeing, incongruous"
discountenance,Refuse to approve of        
discourse,Speech lecture          
discredit,"Injure the reputation of, destroy credibility of or confidence in; Refuse to believe         "
discreet,Careful/prudent         
discrepancy,Difference or inconsistency
discrete,"Separate, distinct, detached, existing as individual parts; Individually distinct        "
discriminating ,"Judicious, discerning, having good judgment or insight"
disdain,Look on with contempt        
disencumber,Free from encumbrance         
disheveled,Untidy           
disingenuous,Sophisticated artful trying to deceive cunning      
disingenuous    ,"Insincere, not genuine"
disinter,Dig up from the earth       
disinterested,"Unbiased, impartial; not interested"
disjointed,"Disconnected, not coherent, jerky; having the joints separated"
dislodge,Move force from the place occupied      
dismal,Sad gloomy miserable         
dismiss,"Allow to disperse or leave; fire from a job; put aside or reject, especially after only a brief consideration"
disparage,"Belittle, put down; bring shame upon, discredit"
disparate,"Distinct, different; Essentially different          "
dispassionate,"Unbiased, not having a selfish or personal motivation; calm, lacking emotion"
dispatch,"Speed, promptness; send off or deal with in a speedy way"
disperse,"Scatter, spread widely, cause to vanish"
disposition,A person's general or natural mood; tendency
disproof,Proof to the contrary      
disquieting,"Disturbing, causing anxiety"
dissemble,"Speak or behave so as to hide smth (in mind)  ; Mislead, conceal the truth, put on a false appearance of"
disseminate,"Distribute (esp. ideas)         ; Scatter, spread about, broadcast"
dissent,"Have a different opinion refuse to assent     ; Disagree or take an opposing view, esp. in relation to a formal body such as a government, political party, or church; such a view"
dissolution,"Disintegration looseness in morals        ; Dissolving, the state of having been dissolved; breaking bonds or breaking up of a group of people; death, disintegration; sinking into extreme hedonism, vice, and degradation"
dissonance,"Harsh, inharmonious sound; cacophony; disagreement"
distaff,"Female, esp. relating to the maternal side of the family; women or women's work; a staff that holds wool or flax for spinning"
distend,"Swell, expand, stretch, bloat"
distill,Purify; extract the essential elements of
distraught,Distracted violently upset in mind       
dither,Act indecisively (verb); a state of fear or trembling excitement
diurnal,Occurring every day; happening in the daytime (rather than at night)
diverge,"Differ, deviate; branch off or turn aside, as from a path"
divergence,Getting farther apart from a point      
divest,"Deprive or strip of a rank, title, etc., or of clothing or gear; to sell off holdings (opposite of invest)"
divestiture,Taking off getting rid of giving up     
divine,Discover through divination or supernatural means; perceive by insight
divulge,Make known smth secret        
doctrinaire ,"Person who applies doctrine in an impractical or rigid and close-minded way (noun); merely theoretical, impractical, or fanatical about other people accepting one's ideas (adj)"
document ,"Support with evidence, cite sources in a detailed way, create documentary evidence of"
doff,"Take off (such as clothes), put aside; remove one's hat as a gesture"
doggerel,Trivial poorly constructed verse        
dogma,A system of principles laid down by an authority; established belief
dogmatic,Positive certain arbitrary without room for discussion     
dolt,Stupid fellow          
dormant,"Asleep, inactive, on a break; In a state of inactivity but awaiting development    "
dote,Show much fondness center one's attention      
dovetail,Join or fit together
